34,UFC 309: Jones vs. Miocic,Jim Miller,Damon Jackson,2024-11-16,"New York City, New York, USA",USA,Red,False,Lightweight,MALE,3,1,5,6,Switch,180.34,180.34,155,0,17,26,Southpaw,172.72,180.34,155,41,36,SUB,Guillotine Choke
35,UFC 309: Jones vs. Miocic,David Onama,Roberto Romero,2024-11-16,"New York City, New York, USA",USA,Red,False,Lightweight,MALE,3,0,0,0,Orthodox,172.72,177.8,155,0,2,4,Orthodox,180.34,187.96,145,30,24,U-DEC,
36,UFC 309: Jones vs. Miocic,Marcin Tybura,Jhonata Diniz,2024-11-16,"New York City, New York, USA",USA,Red,False,Heavyweight,MALE,3,0,0,3,Orthodox,193.04,200.66,254,0,8,12,Orthodox,190.5,198.12,249,39,33,KO/TKO,
37,UFC 309: Jones vs. Miocic,Mickey Gall,Ramiz Brahimaj,2024-11-16,"New York City, New York, USA",USA,Blue,False,Welterweight,MALE,3,0,3,2,Orthodox,177.8,182.88,170,0,6,6,Switch,187.96,187.96,170,32,31,KO/TKO,Punch
38,UFC 309: Jones vs. Miocic,Bassil Hafez,Oban Elliott,2024-11-16,"New York City, New York, USA",USA,Blue,False,Welterweight,MALE,3,0,0,3,Orthodox,182.88,182.88,170,0,1,1,Orthodox,180.34,182.88,170,32,26,KO/TKO,Punch
39,UFC 309: Jones vs. Miocic,Veronica Hardy,Eduarda Moura,2024-11-16,"New York City, New York, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,1,2,Orthodox,167.64,167.64,125,0,4,4,Southpaw,162.56,162.56,125,29,30,U-DEC,
40,UFC Fight Night: Magny vs. Prates,Neil Magny,Carlos Prates,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,5,0,0,4,Switch,185.42,198.12,170,0,11,22,Orthodox,190.5,203.2,170,37,31,KO/TKO,Punch
41,UFC Fight Night: Magny vs. Prates,Gerald Meerschaert,Reinier de Ridder,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,0,0,Southpaw,193.04,198.12,185,0,9,12,Southpaw,185.42,195.58,185,36,34,SUB,Arm Triangle
42,UFC Fight Night: Magny vs. Prates,Gaston Bolanos,Cortavious Romious,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,1,1,Southpaw,162.56,172.72,135,0,1,1,Orthodox,170.18,175.26,135,32,30,U-DEC,
43,UFC Fight Night: Magny vs. Prates,Luana Pinheiro,Gillian Robertson,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,6,11,Orthodox,165.1,160.02,115,0,2,4,Orthodox,157.48,157.48,115,31,29,U-DEC,
44,UFC Fight Night: Magny vs. Prates,Mansur Abdul-Malik,Dusko Todorovic,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,4,4,Orthodox,185.42,187.96,185,0,0,1,Orthodox,187.96,200.66,185,27,30,KO/TKO,Punches
45,UFC Fight Night: Magny vs. Prates,Karolina Kowalkiewicz,Denise Gomes,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,2,4,Orthodox,157.48,160.02,115,0,8,9,Orthodox,160.02,162.56,115,39,24,U-DEC,
46,UFC Fight Night: Magny vs. Prates,Elizeu Zaleski dos Santos,Zachary Scroggin,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,0,0,Orthodox,190.5,187.96,170,1,4,10,Orthodox,180.34,185.42,170,37,28,KO/TKO,Punches
47,UFC Fight Night: Magny vs. Prates,Matthew Semelsberger,Charles Radtke,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,1,2,Orthodox,175.26,182.88,170,0,5,5,Switch,185.42,190.5,170,31,34,KO/TKO,Punches
48,UFC Fight Night: Magny vs. Prates,Cody Stamann,Da'Mon Blackshear,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,1,3,2,Switch,177.8,182.88,135,1,6,7,Orthodox,167.64,162.56,135,35,30,SUB,Rear Naked Choke
49,UFC Fight Night: Magny vs. Prates,Tresean Gore,Antonio Trocoli,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,1,0,Orthodox,198.12,200.66,185,0,2,1,Switch,182.88,190.5,185,30,33,SUB,Guillotine Choke
50,UFC Fight Night: Magny vs. Prates,Melissa Mullins,Klaudia Sygula,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,Orthodox,172.72,175.26,135,0,1,1,Orthodox,170.18,172.72,135,33,25,KO/TKO,Punches
51,UFC Fight Night: Moreno vs. Albazi,Brandon Moreno,Amir Albazi,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Flyweight,MALE,5,0,0,5,Orthodox,165.1,172.72,125,2,5,9,Orthodox,170.18,177.8,125,30,31,U-DEC,
52,UFC Fight Night: Moreno vs. Albazi,Erin Blanchfield,Rose Namajunas,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Women's Flyweight,FEMALE,3,0,5,11,Orthodox,165.1,165.1,125,0,1,6,Orthodox,162.56,167.64,125,25,32,U-DEC,
53,UFC Fight Night: Moreno vs. Albazi,Caio Machado,Brendson Ribeiro,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Light Heavyweight,MALE,3,0,2,1,Orthodox,190.5,205.74,205,0,2,1,Southpaw,193.04,198.12,250,30,28,S-DEC,
54,UFC Fight Night: Moreno vs. Albazi,Ariane da Silva,Jasmine Jasudavicius,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Women's Flyweight,FEMALE,3,0,2,6,Orthodox,170.18,172.72,125,0,6,6,Orthodox,167.64,170.18,125,30,35,SUB,D'Arce Choke
55,UFC Fight Night: Moreno vs. Albazi,Marc-Andre Barriault,Dustin Stoltzfus,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Middleweight,MALE,3,0,5,3,Orthodox,182.88,190.5,185,0,7,5,Orthodox,185.42,187.96,185,34,32,KO/TKO,Punch
56,UFC Fight Night: Moreno vs. Albazi,Mike Malott,Trevin Giles,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Welterweight,MALE,3,0,6,7,Orthodox,182.88,187.96,170,0,1,4,Orthodox,185.42,185.42,170,32,32,U-DEC,
57,UFC Fight Night: Moreno vs. Albazi,Aiemann Zahabi,Pedro Munhoz,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Bantamweight,MALE,3,0,9,10,Orthodox,167.64,165.1,135,0,2,5,Orthodox,172.72,172.72,135,36,38,U-DEC,
58,UFC Fight Night: Moreno vs. Albazi,Charles Jourdain,Victor Henry,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Bantamweight,MALE,3,0,1,3,Switch,170.18,172.72,135,1,7,6,Switch,175.26,175.26,135,28,37,SUB,Guillotine Choke
59,UFC Fight Night: Moreno vs. Albazi,Jack Shore,Youssef Zalal,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Featherweight,MALE,3,1,3,5,Switch,177.8,182.88,145,0,2,6,Orthodox,172.72,180.34,145,29,28,SUB,Arm Triangle
60,UFC Fight Night: Moreno vs. Albazi,Alexandr Romanov,Rodrigo Nascimento,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Heavyweight,MALE,3,0,2,5,Orthodox,187.96,203.2,246,0,3,6,Southpaw,187.96,190.5,262,33,31,U-DEC,
61,UFC Fight Night: Moreno vs. Albazi,Serhiy Sidey,Garrett Armfield,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Bantamweight,MALE,3,0,2,2,Orthodox,167.64,177.8,135,0,1,1,Switch,180.34,182.88,135,28,28,S-DEC,
62,UFC Fight Night: Moreno vs. Albazi,Chad Anheliger,Cody Gibson,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Bantamweight,MALE,3,0,5,2,Orthodox,177.8,180.34,135,0,2,3,Orthodox,167.64,162.56,135,37,37,U-DEC,
63,UFC Fight Night: Moreno vs. Albazi,Jamey-Lyn Horth,Ivana Petrovic,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Women's Flyweight,FEMALE,3,0,1,1,Southpaw,172.72,177.8,125,0,1,1,Orthodox,170.18,167.64,125,34,30,S-DEC,
64,UFC 308: Topuria vs. Holloway,Ilia Topuria,Max Holloway,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,True,Featherweight,MALE,5,0,7,22,Orthodox,180.34,175.26,145,0,0,7,Orthodox,170.18,175.26,145,27,32,KO/TKO,Punch
65,UFC 308: Topuria vs. Holloway,Robert Whittaker,Khamzat Chimaev,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Middleweight,MALE,3,0,0,7,Orthodox,187.96,190.5,185,0,5,17,Orthodox,182.88,185.42,185,33,30,SUB,Rear Naked Choke
66,UFC 308: Topuria vs. Holloway,Magomed Ankalaev,Aleksandar Rakic,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,MALE,3,0,3,6,Orthodox,193.04,198.12,205,1,1,10,Orthodox,190.5,190.5,205,32,32,U-DEC,
67,UFC 308: Topuria vs. Holloway,Lerone Murphy,Dan Ige,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Featherweight,MALE,3,0,7,11,Orthodox,170.18,180.34,145,1,0,6,Orthodox,175.26,185.42,145,33,33,U-DEC,
68,UFC 308: Topuria vs. Holloway,Shara Magomedov,Armen Petrosyan,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Middleweight,MALE,3,0,2,4,Orthodox,190.5,180.34,185,0,0,3,Orthodox,187.96,185.42,185,30,33,KO/TKO,Spinning Back Fist
69,UFC 308: Topuria vs. Holloway,Ibo Aslan,Rafael Cerqueira,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,MALE,3,0,0,0,Southpaw,190.5,193.04,205,0,0,2,Orthodox,190.5,195.58,205,28,34,KO/TKO,Punches
70,UFC 308: Topuria vs. Holloway,Geoff Neal,Rafael Dos Anjos,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Welterweight,MALE,3,0,14,21,Southpaw,172.72,177.8,170,0,4,8,Southpaw,180.34,190.5,170,34,40,KO/TKO,
